epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1234,0.92096,1.83991,0.01466,0.89991,0.65354,0.90141,0.66681,1.57447,0.96684,0.01154,0,0,0
2,11.0642,0.8591,2.08562,0.01465,0.89991,0.65354,0.90141,0.66523,1.57447,0.96684,0.01154,3.57397e-05,3.57397e-05,3.57397e-05
3,11.9504,0.8292,1.68504,0.01192,0.89991,0.65354,0.90141,0.66523,1.57447,0.96684,0.01154,6.36253e-05,6.36253e-05,6.36253e-05
4,12.7775,1.02388,2.11619,0.01879,0.83651,0.68574,0.90475,0.66586,1.51635,1.05701,0.01096,8.3657e-05,8.3657e-05,8.3657e-05
5,13.5813,1.01475,1.40299,0.01083,0.83651,0.68574,0.90475,0.66586,1.51635,1.05701,0.01096,7.1876e-05,7.1876e-05,7.1876e-05
6,14.4958,1.03218,1.56434,0.01284,0.83651,0.68574,0.90475,0.66586,1.51635,1.05701,0.01096,6.0095e-05,6.0095e-05,6.0095e-05
7,15.5182,1.00491,2.32826,0.01674,0.88552,0.67127,0.90269,0.69988,1.54943,0.96705,0.01093,4.8314e-05,4.8314e-05,4.8314e-05
8,16.7152,0.94176,1.14868,0.01466,0.88552,0.67127,0.90269,0.69988,1.54943,0.96705,0.01093,3.6533e-05,3.6533e-05,3.6533e-05
9,17.8506,0.86823,2.84427,0.01459,0.88552,0.67127,0.90269,0.69988,1.54943,0.96705,0.01093,2.4752e-05,2.4752e-05,2.4752e-05
10,19.0966,1.03754,1.78503,0.01507,0.888,0.67636,0.90123,0.70086,1.48603,1.03779,0.01009,1.2971e-05,1.2971e-05,1.2971e-05
